Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
Taiobeiras,0,0,2,3,2,3,4,4,4,11,9,3,3,3,5,8,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,73,31085
Divinópolis,4,2,5,5,10,13,15,13,20,26,34,27,21,33,53,59,63,65,101,75,98,53,60,45,35,25,33,20,6,3,6,12,1,4,11,6,6,2,6,4,1,0,0,1081,31086
"Lagoa da Prata,Santo Antônio do Monte",3,14,14,31,29,54,40,74,67,55,69,75,36,25,18,18,11,8,11,14,8,14,14,6,5,4,6,4,13,10,9,6,9,3,3,2,4,1,1,1,0,0,0,789,31087
"Oliveira,Santo Antônio do Amparo",0,0,0,1,0,1,1,3,10,3,7,7,11,4,6,13,6,2,2,2,8,2,4,20,1,1,1,0,7,3,0,0,0,1,0,1,1,0,1,0,0,0,0,130,31088
Campo Belo,0,0,5,1,1,1,3,6,6,5,8,11,5,8,6,3,4,6,2,12,4,1,5,5,6,6,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,126,31089
Lima Duarte,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31090
Cássia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31091
Passos,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,31092
Piumhi,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,13,31093
"Almenara,Jacinto",1,0,2,3,3,6,7,24,30,23,21,22,9,22,9,10,15,13,22,18,13,3,7,2,2,0,1,0,0,0,0,1,0,3,2,0,0,1,2,0,1,0,0,298,31094
Serro,0,4,3,6,11,9,14,16,18,17,9,9,2,3,2,26,4,2,13,13,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,185,31095
Itambacuri,1,6,12,16,26,12,18,22,41,52,59,48,49,47,17,20,5,9,6,1,2,5,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,31096
Juiz de Fora,4,3,2,6,3,4,0,7,9,5,3,5,7,12,15,12,12,10,4,6,12,6,3,7,9,6,5,2,2,4,1,0,2,3,0,3,1,1,1,0,0,0,0,197,31097
Salinas,2,1,6,5,6,3,1,8,1,0,1,2,2,1,4,3,5,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,31098
"Teófilo Otoni,Malacacheta",9,7,12,20,38,47,38,58,82,65,87,99,51,49,46,44,36,32,24,28,10,3,7,4,2,4,4,1,3,1,2,0,0,1,0,3,0,1,1,0,0,1,0,920,31099
São Francisco,1,1,19,24,34,17,34,101,100,86,96,36,34,76,66,47,73,20,8,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,31100
Brasília de Minas,2,7,30,36,60,48,17,10,6,6,11,10,43,21,24,8,3,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,351,31101
"Peçanha,São João Evangelista,Santa Maria do Suaçuí",0,0,0,3,2,2,3,5,4,4,7,7,6,7,5,11,10,3,2,5,5,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,31102
