Residência,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
SAO GERALDO DO BAIXIO,0,4,0,2,7,3,2,2,2,5,2,9,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,31036
SARDOA,0,0,0,0,0,4,2,4,11,5,9,17,17,1,0,10,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,88,31036
SOBRALIA,0,4,2,6,7,8,15,10,26,46,34,51,28,15,8,0,1,0,0,0,3,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,271,31036
GALILEIA,0,0,3,0,2,10,19,27,33,56,43,38,26,13,24,16,8,5,2,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,341,31036
ENGENHEIRO CALDAS,0,0,0,6,36,74,69,108,105,137,87,123,63,38,25,14,2,2,2,2,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,905,31036
CAPITAO ANDRADE,0,2,2,0,4,3,2,1,5,28,18,11,8,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,31036
SANTA EFIGENIA DE MINAS,0,1,3,2,3,2,5,4,14,21,21,17,19,20,14,20,25,13,8,12,4,4,0,4,3,2,1,0,1,0,0,0,1,2,1,1,0,0,4,0,0,0,0,0,252,31036
JAMPRUCA,0,0,0,1,2,2,1,2,3,4,9,12,16,10,13,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,31036
MARILAC,0,2,3,1,2,19,35,93,98,96,69,54,16,15,3,2,5,2,1,1,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,528,31036
COROACI,0,0,0,4,2,13,13,20,36,29,32,23,31,19,18,18,11,12,19,8,20,14,9,7,7,2,0,0,0,0,0,1,2,4,4,3,0,1,1,1,0,0,0,0,384,31036
TUMIRITINGA,0,0,3,7,1,7,6,11,22,37,8,0,0,4,2,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,31036
TARUMIRIM,0,12,23,38,34,34,51,42,92,88,73,36,21,15,8,5,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,578,31036
ALPERCATA,0,5,7,11,12,10,26,15,4,40,20,3,9,6,4,13,6,1,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,202,31036
GONZAGA,0,0,0,0,6,1,8,6,28,14,20,15,17,17,15,30,25,20,23,14,10,16,8,16,7,5,3,0,2,1,0,0,1,1,0,1,4,2,2,1,1,1,2,0,343,31036
NACIP RAYDAN,0,2,1,1,2,4,1,5,9,6,32,10,8,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,31036
FREI INOCENCIO,0,0,0,0,0,0,2,4,19,17,20,10,7,3,1,2,6,6,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,107,31036
BRAUNAS,0,4,4,3,17,24,22,13,6,0,1,4,2,2,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,110,31037
PERIQUITO,0,0,5,1,6,3,3,2,4,1,5,2,1,1,1,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,31037
ACUCENA,0,0,9,8,29,13,24,23,31,61,68,73,49,41,60,33,52,56,37,36,18,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,31037
MESQUITA,0,3,9,2,4,9,1,1,0,0,1,1,2,5,5,5,1,2,1,1,2,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,65,31037
SANTANA DO PARAISO,0,88,134,116,129,159,142,87,133,135,110,70,54,35,38,37,28,21,20,17,23,11,8,6,8,2,4,2,5,2,2,4,1,0,6,3,1,2,1,1,2,0,1,0,1648,31037
