"Reg Saúde (CIR)/Municíp Res";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
".....  CORREGO FUNDO";-;-;1;1;-;-;5;3;2;2;2;5;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;26
".....  MEDEIROS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
".....  PAINS";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31031 Itaúna";6;7;7;13;23;26;24;34;21;34;36;20;12;41;50;26;1;3;4;6;3;2;3;1;3;-;-;1;1;-;-;1;2;-;1;-;1;-;-;-;1;-;-;414
".....  ITAUNA";6;7;7;13;21;25;23;34;21;34;32;19;12;37;46;25;1;2;4;6;2;2;3;1;3;-;-;1;1;-;-;1;2;-;1;-;1;-;-;-;1;-;-;394
".....  ITAGUARA";-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  ITATIAIUCU";-;-;-;-;2;1;-;-;-;-;3;-;-;2;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
".....  PIRACEMA";-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31032 Pará de Minas/Nova Serrana";7;20;12;29;22;56;50;135;118;243;142;162;184;125;107;156;125;177;229;126;104;56;71;47;33;22;13;15;3;8;2;2;2;2;6;2;3;3;4;-;1;2;-;2626
".....  PITANGUI";-;-;-;2;2;3;1;5;8;1;9;6;8;7;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;56
".....  LEANDRO FERREIRA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  NOVA SERRANA";1;2;-;-;1;3;4;12;5;7;10;6;3;1;5;3;3;2;5;3;1;1;1;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;83
".....  PARA DE MINAS";6;18;12;27;17;49;41;115;103;233;123;148;170;116;99;150;110;169;212;116;96;46;60;37;22;15;12;6;3;5;2;2;1;-;6;2;3;3;2;-;-;-;-;2357
".....  SAO JOSE DA VARGINHA";-;-;-;-;2;-;3;2;-;-;-;1;1;-;1;1;2;1;4;-;-;3;-;-;-;6;-;9;-;3;-;-;1;1;-;-;-;-;-;-;1;2;-;44
".....  CONCEICAO DO PARA";-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;1;-;2;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  ONCA DE PITANGUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  IGARATINGA";-;-;-;-;-;1;-;-;2;2;-;1;-;1;2;1;8;4;5;5;3;6;9;10;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71
"31034 Caratinga";59;91;112;234;251;285;388;477;479;311;262;231;110;83;80;71;48;25;18;13;12;5;4;2;1;1;-;-;1;1;2;-;-;1;1;-;-;1;-;-;-;1;-;3661
".....  VERMELHO NOVO";-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  PIEDADE DE CARATINGA";-;-;-;-;-;1;1;1;-;-;-;4;5;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
".....  SANTA BARBARA DO LESTE";-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  ENTRE FOLHAS";-;1;-;2;3;4;1;5;5;7;2;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35
".....  CARATINGA";2;11;10;10;14;47;210;104;126;31;29;84;34;10;11;3;3;5;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;747
".....  IMBE DE MINAS";-;-;-;-;1;-;-;3;1;1;-;-;3;1;5;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
".....  BOM JESUS DO GALHO";8;18;18;51;64;47;34;69;44;15;16;16;9;11;3;13;14;6;5;7;8;4;3;-;1;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;487
".....  SANTA RITA DE MINAS";-;-;1;1;1;-;1;-;-;-;9;5;5;9;10;6;5;1;1;-;2;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;60
".....  INHAPIM";5;8;24;59;44;126;112;241;237;222;194;90;45;45;26;18;15;10;6;2;1;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1535
".....  SAO SEBASTIAO DO ANTA";-;1;1;-;4;3;3;13;23;8;4;15;1;-;17;25;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;122
".....  UBAPORANGA";-;2;-;3;3;4;9;10;12;16;3;5;2;3;5;3;5;3;4;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;96
".....  VARGEM ALEGRE";44;50;58;108;117;53;16;29;28;11;4;8;4;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;535
".....  SAO DOMINGOS DAS DORES";-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31035 Coronel Fabriciano/Timóteo";1280;2063;2271;2302;2254;1779;935;1399;1164;680;731;431;241;350;363;213;121;51;83;70;36;17;17;18;14;18;12;7;13;5;3;10;2;10;9;7;4;3;6;2;3;-;-;18997
".....  CORREGO NOVO";-;-;-;1;2;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;8
".....  PINGO-D'AGUA";1;2;8;12;13;45;23;23;21;10;14;11;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;185
".....  CORONEL FABRICIANO";630;1024;1130;1291;1345;1088;559;953;835;482;446;281;156;208;125;150;94;43;66;56;28;12;8;12;8;16;10;7;13;4;3;7;2;10;7;5;4;3;4;2;3;-;-;11130
".....  JAGUARACU";8;12;10;10;7;3;2;9;9;1;7;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81
".....  MARLIERIA";7;4;7;8;16;43;7;29;5;16;9;13;3;8;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;185
".....  ANTONIO DIAS";3;1;2;3;6;4;3;3;2;4;1;2;5;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43
".....  DIONISIO";-;2;4;5;3;-;2;25;25;7;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78
".....  TIMOTEO";631;1018;1110;972;862;596;339;356;265;159;250;123;76;133;233;58;25;6;15;14;8;5;9;6;6;2;2;-;-;1;-;3;-;-;1;1;-;-;2;-;-;-;-;7287
"31036 Governador Valadares";74;191;238;305;375;681;816;1647;2781;2309;2505;2478;1175;922;662;553;354;354;398;213;147;232;437;259;203;49;210;252;194;119;57;146;40;45;19;21;5;15;22;8;3;1;-;21515
".....  DIVINOLANDIA DE MINAS";3;-;5;9;23;31;31;49;50;58;56;52;39;25;27;38;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;497
".....  MATHIAS LOBATO";-;4;1;2;4;7;14;52;43;77;55;47;30;15;17;8;5;4;-;-;4;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;391
".....  ITANHOMI";31;97;66;116;84;130;137;89;92;62;40;11;7;10;2;11;3;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;991
".....  VIRGOLANDIA";-;-;-;-;-;2;-;13;6;2;3;4;4;10;13;22;13;11;5;15;5;1;2;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;134
".....  SAO JOSE DA SAFIRA";-;-;-;-;-;-;-;-;2;8;14;16;17;11;6;12;4;6;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;98
".....  FERNANDES TOURINHO";-;-;2;2;4;8;5;6;15;12;44;66;39;27;21;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;254
".....  SAO GERALDO DA PIEDADE";-;-;-;-;-;-;-;-;3;3;3;6;2;1;2;1;2;1;-;3;8;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39
".....  GOVERNADOR VALADARES";19;35;88;78;152;375;456;1221;2147;1729;1860;1895;843;617;436;383;285;289;361;139;118;209;427;224;196;42;168;252;192;115;56;144;35;45;18;21;4;15;21;5;2;-;-;15717
".....  ALVARENGA";-;-;-;-;2;2;1;1;10;10;7;7;2;10;11;3;-;1;8;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84
".....  SAO GERALDO DO BAIXIO";-;-;-;-;1;-;-;2;9;13;6;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
".....  SARDOA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SOBRALIA";1;-;8;6;5;5;77;81;225;121;150;64;17;19;2;-;-;-;2;1;-;1;-;1;-;-;-;-;-;-;-;1;5;-;-;-;-;-;-;3;-;-;-;795
".....  GALILEIA";-;3;-;1;2;3;2;-;2;4;16;10;6;10;4;6;2;1;4;11;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88
".....  ENGENHEIRO CALDAS";-;-;1;3;4;3;7;23;15;32;27;11;7;13;11;2;2;7;3;16;1;1;2;29;2;2;41;-;1;-;-;1;-;-;1;-;-;-;-;-;-;1;-;269
".....  CAPITAO ANDRADE";-;3;7;2;3;6;4;10;7;6;13;11;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;76
".....  SANTA EFIGENIA DE MINAS";-;-;-;-;-;-;1;-;1;1;3;1;-;1;1;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  JAMPRUCA";-;-;-;-;-;-;-;-;-;1;3;3;7;3;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
".....  MARILAC";-;-;-;-;3;13;9;13;27;17;38;40;26;24;10;10;5;3;-;4;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;244
".....  COROACI";1;-;1;2;2;5;10;14;11;14;17;14;15;18;17;12;6;3;4;2;1;4;1;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;179
".....  TUMIRITINGA";-;18;25;26;18;17;4;5;22;64;115;125;75;79;41;29;13;16;6;1;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;707
".....  TARUMIRIM";16;21;21;45;32;41;11;41;20;24;7;23;13;6;7;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;334
".....  ALPERCATA";3;10;6;10;14;18;29;9;37;23;6;36;12;10;5;2;1;1;-;-;-;-;1;3;-;-;1;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;241
".....  GONZAGA";-;-;-;1;-;-;-;-;-;-;2;-;2;2;1;2;2;3;1;9;3;2;3;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;37
".....  NACIP RAYDAN";-;-;-;-;9;-;2;3;5;7;1;2;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
".....  FREI INOCENCIO";-;-;7;2;13;15;16;15;32;21;19;34;10;9;20;3;6;4;2;6;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;237
"31037 Ipatinga";701;1395;1897;2523;3073;2982;2847;2812;2502;1712;1322;919;521;622;446;343;273;117;153;131;88;98;107;54;64;46;28;77;36;20;27;32;31;40;29;27;22;25;32;37;21;13;-;28245
".....  BRAUNAS";2;5;15;14;51;55;37;20;6;1;8;-;-;-;1;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;218
".....  PERIQUITO";2;2;6;7;5;40;28;53;48;25;9;1;-;2;1;1;2;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;235
".....  ACUCENA";1;1;3;4;12;27;6;13;22;17;11;13;9;10;3;2;6;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;164
".....  MESQUITA";19;48;49;61;27;11;20;5;6;8;7;6;8;15;16;12;7;1;1;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;332
".....  SANTANA DO PARAISO";84;112;190;204;256;195;99;179;175;112;79;58;34;37;16;8;17;3;10;15;3;6;2;1;2;2;1;4;1;1;1;4;-;2;1;2;2;2;2;2;1;-;-;1925
".....  IPATINGA";525;1062;1311;1640;1671;1590;1468;1427;1443;1079;868;582;288;349;222;172;127;69;93;90;74;73;98;45;59;40;24;30;33;15;19;20;26;31;24;18;19;19;27;34;19;8;-;16831
".....  SAO JOAO DO ORIENTE";-;1;4;8;23;19;37;58;61;71;57;45;34;25;26;5;6;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;481
".....  IAPU";1;7;6;16;39;61;21;7;12;17;41;20;10;12;12;3;4;-;2;2;1;4;-;-;-;2;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;304
".....  IPABA";10;30;99;238;403;391;449;369;205;105;25;22;11;21;7;3;7;4;8;12;3;6;-;4;2;2;1;-;2;3;2;3;-;2;2;5;1;2;1;-;-;-;-;2460
".....  NAQUE";3;8;3;8;15;24;26;23;34;9;13;8;3;4;6;2;2;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;194
".....  JOANESIA";35;66;82;92;78;106;109;99;82;64;67;51;58;104;107;107;68;33;27;6;2;2;6;3;-;-;1;4;-;1;3;2;5;4;-;2;-;-;1;1;-;-;-;1478
".....  BELO ORIENTE";14;45;105;132;330;313;411;492;347;179;116;88;48;27;22;21;20;4;9;4;1;3;1;-;-;-;1;39;-;-;-;-;-;-;1;-;-;1;1;-;1;5;-;2781
".....  BUGRE";4;2;14;18;25;47;40;28;24;23;21;24;18;16;7;7;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;327
".....  DOM CAVATI";1;6;10;81;138;103;96;39;37;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;515
"31038 Mantena";-;3;1;2;1;14;13;25;38;62;63;76;46;62;37;35;52;77;21;41;3;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;676
".....  SAO JOAO DO MANTENINHA";-;-;-;-;-;1;-;1;3;2;9;10;3;3;1;1;4;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42
".....  MENDES PIMENTEL";-;-;-;1;-;-;-;1;1;1;1;4;1;7;5;8;4;3;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41
".....  MANTENA";-;-;-;-;-;-;-;-;1;1;-;3;-;-;-;1;1;4;1;1;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;16
".....  SAO FELIX DE MINAS";-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  ITABIRINHA";-;1;1;1;-;6;5;17;16;13;28;24;22;12;2;3;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154
".....  DIVINO DAS LARANJEIRAS";-;-;-;-;-;-;-;-;2;11;3;6;6;16;14;5;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64
".....  NOVA BELEM";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CENTRAL DE MINAS";-;2;-;-;1;7;8;6;15;32;22;28;14;23;15;17;41;70;17;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;355
"31040 Resplendor";-;1;5;7;9;31;21;56;86;134;266;240;185;240;155;137;85;46;22;25;15;5;11;6;4;2;3;3;2;4;2;2;1;1;2;3;-;1;1;1;1;3;-;1824
".....  SANTA RITA DO ITUETO";-;-;-;-;1;1;-;-;-;-;2;2;1;1;-;-;2;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
".....  CONSELHEIRO PENA";-;-;3;1;1;14;15;25;30;70;142;171;145;180;103;102;46;17;12;6;6;-;1;2;1;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1096
".....  CUPARAQUE";-;-;-;1;-;-;-;4;6;12;45;21;6;7;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105
".....  GOIABEIRA";-;-;-;-;-;-;-;-;-;3;3;2;2;1;-;-;-;2;1;1;-;1;4;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
".....  AIMORES";-;1;1;2;2;5;6;20;26;29;49;30;17;30;41;27;30;21;5;12;7;3;6;3;2;1;2;1;1;3;1;1;1;1;1;2;-;1;-;-;-;3;-;394
".....  RESPLENDOR";-;-;1;3;4;10;-;4;23;15;18;8;12;16;8;5;4;4;4;2;2;1;-;-;-;-;-;1;1;1;1;-;-;-;1;-;-;-;1;1;1;-;-;152
".....  ITUETA";-;-;-;-;1;1;-;3;1;5;7;6;2;5;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39
"31041 Além Paraíba";-;1;1;-;-;-;-;3;3;3;2;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
".....  VOLTA GRANDE";-;-;-;-;-;-;-;2;3;3;2;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  ALEM PARAIBA";-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31042 Carangola";-;-;-;1;2;3;5;1;3;-;-;1;-;1;4;-;2;1;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;30
".....  ORIZANIA";-;-;-;-;-;-;2;-;1;-;-;-;-;-;2;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  DIVINO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  PEDRA BONITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  FERVEDOURO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CARANGOLA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CAIANA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ESPERA FELIZ";-;-;-;1;2;2;2;1;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;12
".....  CAPARAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31044 Leopoldina/Cataguases";1;-;-;-;1;-;-;-;-;1;4;1;-;-;3;-;5;-;3;1;-;-;-;-;-;2;2;-;-;-;-;1;-;-;-;-;1;2;1;-;-;-;-;29
".....  ASTOLFO DUTRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
".....  LEOPOLDINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  CATAGUASES";1;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;1;1;-;-;-;-;-;2;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
".....  LARANJAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
".....  DONA EUSEBIA";-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  ARGIRITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"31045 Muriaé";-;2;-;-;2;6;2;4;3;11;5;12;2;5;7;4;10;2;7;1;-;1;1;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;91
".....  MIRAI";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  SAO FRANCISCO DO GLORIA";-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  BARAO DE MONTE ALTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  MIRADOURO";-;-;-;-;1;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  MURIAE";-;2;-;-;1;4;1;2;3;11;3;12;2;4;4;4;8;2;7;1;-;1;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;76
".....  EUGENOPOLIS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31046 Santos Dumont";-;-;-;-;1;1;1;1;-;1;-;1;1;1;2;2;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
".....  SANTOS DUMONT";-;-;-;-;1;1;1;-;-;-;-;1;-;1;1;2;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  ARACITABA";-;-;-;-;-;-;-;1;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"31047 São João Nepomuceno/Bicas";1;1;1;1;-;-;1;-;1;2;14;4;1;1;1;1;1;-;1;1;2;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;39
".....  BICAS";-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  SENADOR CORTES";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SAO JOAO NEPOMUCENO";-;-;1;1;-;-;-;-;-;1;14;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;23
".....  MAR DE ESPANHA";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  PEQUERI";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  DESCOBERTO";1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
