Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
Bocaiúva,5,15,3,11,8,20,16,19,25,29,84,109,232,179,230,269,360,382,368,380,187,185,117,139,38,56,28,22,21,11,15,7,9,9,6,9,4,5,4,5,3,8,5,3,0,1,1,4,1,7,8,2,3664,31083
Montes Claros,79,147,176,132,145,141,134,136,127,87,234,268,307,342,372,342,558,784,1510,1636,1048,652,504,302,222,138,81,68,43,47,33,14,9,11,4,4,14,19,5,6,7,7,15,9,7,6,2,7,8,32,10,7,10998,31084
Taiobeiras,0,1,2,1,9,1,3,7,5,5,1,8,6,22,21,21,56,50,55,54,43,49,51,34,17,24,14,9,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,31085
Divinópolis,3,13,14,20,58,49,85,101,61,98,128,191,176,196,298,317,476,651,779,755,641,528,387,279,145,101,56,32,11,22,17,5,16,4,5,3,7,7,6,6,6,14,3,5,6,5,6,11,8,2,6,5,6824,31086
"Lagoa da Prata,Santo Antônio do Monte",111,263,401,365,385,383,292,188,186,208,260,269,277,284,263,216,269,238,298,251,229,169,133,97,70,37,13,16,11,13,8,2,5,5,4,15,16,8,3,5,7,4,6,4,2,4,1,7,4,1,1,2,6309,31087
"Oliveira,Santo Antônio do Amparo",5,4,3,4,5,13,7,24,12,11,11,15,36,39,73,68,112,114,115,119,105,51,52,25,22,24,6,2,4,3,1,1,0,0,4,3,2,1,3,0,1,2,3,2,1,3,2,3,1,1,2,1,1121,31088
Campo Belo,11,2,8,8,11,7,13,11,20,24,31,44,89,90,155,167,251,203,163,183,92,139,64,40,16,15,7,2,1,0,2,2,1,0,0,1,1,2,4,1,4,2,1,1,1,2,5,20,18,21,32,21,2009,31089
Lima Duarte,2,0,0,0,2,1,0,4,1,3,4,7,12,16,22,14,22,43,23,24,22,16,12,6,4,5,2,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,275,31090
Cássia,0,4,9,10,26,28,36,51,32,17,17,35,35,28,32,24,27,44,43,56,40,24,8,18,7,3,2,0,0,0,0,0,2,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,668,31091
Passos,51,169,161,175,177,220,193,182,202,149,141,198,222,162,191,186,324,222,294,236,270,245,143,108,55,49,28,21,11,5,7,9,16,13,11,9,10,11,8,8,5,6,9,6,9,6,11,9,6,4,4,15,4982,31092
Piumhi,3,19,10,8,11,26,37,35,36,33,29,89,65,81,104,119,161,157,146,95,102,89,123,63,34,69,51,31,12,10,7,6,7,5,2,3,7,5,4,2,1,2,5,4,5,0,6,3,6,8,5,5,1946,31093
"Almenara,Jacinto",3,0,1,2,1,0,0,2,1,2,0,1,0,6,1,1,2,8,9,14,14,28,23,20,21,18,18,21,6,9,9,4,10,9,20,10,12,15,8,9,11,15,9,7,5,6,21,22,17,15,23,3,492,31094
Serro,3,2,1,7,5,3,4,3,8,22,30,23,36,43,31,63,76,93,93,99,60,60,58,29,10,8,12,7,7,13,0,2,3,5,1,1,1,1,5,2,3,0,3,0,0,4,6,1,3,4,0,1,955,31095
Itambacuri,6,4,8,2,5,0,1,2,3,3,1,8,7,25,32,15,34,25,64,62,54,69,83,70,47,35,45,23,7,5,2,5,3,0,1,2,1,2,4,4,1,3,2,3,3,9,5,11,6,3,10,6,831,31096
Juiz de Fora,7,10,12,16,33,43,50,64,102,57,189,226,246,382,318,223,534,736,1091,841,807,837,518,418,194,135,132,91,29,67,15,18,10,5,5,3,6,3,10,10,4,3,9,10,9,4,2,7,8,1,7,21,8578,31097
Salinas,5,4,0,1,0,7,10,9,21,11,20,19,63,103,104,118,149,153,143,109,100,77,74,34,27,16,8,8,8,6,8,0,8,4,1,0,1,3,0,1,2,6,8,3,5,8,3,1,5,12,14,15,1515,31098
"Teófilo Otoni,Malacacheta",1,3,2,6,3,8,2,4,2,3,5,8,2,11,25,17,27,37,32,38,44,50,51,35,38,33,32,21,14,6,18,14,12,17,12,3,7,10,6,11,3,3,8,3,2,5,4,4,7,3,7,1,720,31099
São Francisco,2,70,53,102,143,101,115,98,78,65,95,75,111,137,88,68,114,106,109,69,30,28,24,14,10,5,10,3,2,2,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1936,31100
Brasília de Minas,11,43,68,33,60,81,80,136,185,184,255,332,310,381,415,321,414,473,376,259,253,191,114,47,20,16,24,16,2,4,5,7,2,5,1,1,0,0,2,0,1,0,1,4,2,0,1,0,3,5,4,1,5149,31101
"Peçanha,São João Evangelista,Santa Maria do Suaçuí",0,2,0,0,0,0,3,1,1,2,11,10,21,35,56,40,56,43,65,73,42,25,16,16,16,19,17,7,5,4,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,594,31102
