Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
"Patrocínio,Monte Carmelo",0,2,1,3,7,2,2,3,1,0,2,0,3,5,11,5,5,6,1,3,3,0,0,2,0,0,2,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,1,0,0,82,31074
"Uberlândia,Araguari",0,10,20,52,33,17,25,23,36,26,48,54,44,101,135,128,128,115,76,83,74,40,52,42,17,22,28,21,9,4,5,4,6,4,2,8,7,4,14,6,11,12,7,2,10,5,5,5,10,11,5,9,3,1,1619,31075
Manga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,7,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31076
João Pinheiro,0,0,0,0,0,1,1,0,1,0,0,0,0,2,8,15,5,8,11,1,1,4,2,0,1,1,2,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,71,31077
Congonhas,0,0,0,1,0,0,1,1,1,1,2,1,3,1,17,8,5,8,7,2,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,72,31078
Conselheiro Lafaiete,0,0,1,4,1,1,0,1,1,2,0,2,0,6,13,5,3,9,10,2,2,0,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72,31079
São Gotardo,0,0,0,1,0,0,0,0,1,1,0,1,1,2,1,0,1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,22,31082
Bocaiúva,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,9,4,0,2,0,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,30,31083
Montes Claros,0,3,9,14,11,6,6,8,7,16,20,10,19,73,126,177,191,228,185,188,161,100,74,47,49,36,21,10,7,3,3,1,1,4,0,4,6,4,2,1,0,0,2,1,0,2,2,2,4,0,0,2,1,0,1847,31084
Taiobeiras,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31085
Divinópolis,0,3,4,5,3,0,0,3,3,9,3,14,9,25,82,57,74,38,32,36,16,11,11,9,2,3,2,4,2,0,1,1,0,0,0,0,1,2,2,3,1,1,0,1,1,4,1,1,0,3,1,0,4,1,489,31086
"Lagoa da Prata,Santo Antônio do Monte",0,0,3,0,1,1,1,0,2,3,3,5,5,11,19,25,27,39,20,12,12,8,12,10,6,5,6,7,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,248,31087
"Oliveira,Santo Antônio do Amparo",0,0,1,0,0,0,1,1,2,1,0,0,0,1,3,1,1,3,1,0,3,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,29,31088
Campo Belo,0,0,0,0,0,0,1,1,0,1,2,0,1,1,4,6,9,16,7,5,4,2,5,4,8,4,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,1,1,2,2,6,1,0,0,101,31089
Lima Duarte,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,31090
Cássia,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31091
Passos,0,2,2,4,2,1,0,1,2,2,6,2,0,7,12,11,13,3,6,9,3,1,4,0,2,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,2,1,0,1,1,3,0,2,0,0,0,0,111,31092
Piumhi,0,1,0,1,0,1,0,1,2,5,3,2,2,0,5,14,13,3,3,1,4,2,2,1,2,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,2,1,0,0,82,31093
"Almenara,Jacinto",0,0,2,2,5,3,3,1,7,11,9,28,28,76,118,143,129,47,20,19,8,3,1,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,686,31094
Serro,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,31095
Itambacuri,0,11,14,4,4,3,1,4,15,11,8,11,8,11,62,74,37,19,16,21,22,14,19,17,4,8,4,3,3,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,434,31096
Juiz de Fora,0,6,8,8,10,5,3,7,18,21,15,23,12,71,130,123,120,102,75,112,70,30,45,25,29,17,8,5,3,2,9,1,1,0,1,3,0,5,0,0,1,2,1,3,2,4,1,2,3,6,7,3,2,3,1163,31097
Salinas,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9,12,5,3,6,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,49,31098
"Teófilo Otoni,Malacacheta",0,3,4,11,13,10,2,22,20,16,22,16,7,35,46,69,84,69,89,97,78,57,62,44,27,17,26,11,6,7,4,1,4,0,0,1,1,2,2,0,0,0,0,1,1,2,2,1,4,1,4,4,0,2,1007,31099
São Francisco,0,2,0,4,0,0,3,2,2,2,2,3,9,19,11,28,28,25,12,11,17,14,7,10,10,5,4,9,3,2,4,0,1,5,2,0,3,1,4,2,1,1,6,7,13,12,12,2,4,0,7,4,3,2,340,31100
Brasília de Minas,0,0,0,0,0,0,0,2,1,0,0,1,0,8,2,11,23,3,7,1,8,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,81,31101
"Peçanha,São João Evangelista,Santa Maria do Suaçuí",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31102
