"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
"31001 Alfenas/Machado";-;153;231;375;479;653;790;890;1578;1711;2230;2740;3254;2427;2722;3012;2501;2533;2288;1978;1457;1179;840;694;422;211;194;144;72;51;42;36;21;9;18;22;15;20;25;17;15;14;3;-;38066
".....  AREADO";-;80;115;220;277;345;317;298;368;313;290;170;138;71;39;28;29;11;12;4;20;8;5;3;4;2;1;1;-;-;1;1;1;2;-;-;-;-;-;3;2;4;-;-;3183
".....  CONCEICAO DA APARECIDA";-;7;4;2;6;21;25;37;87;79;106;118;133;83;90;115;107;51;76;15;33;21;51;22;16;-;8;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1314
".....  DIVISA NOVA";-;2;-;1;2;13;8;27;36;35;67;87;89;51;12;4;6;-;2;8;6;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;460
".....  BANDEIRA DO SUL";-;-;-;-;-;-;3;4;11;9;7;9;13;2;11;7;9;8;5;13;16;6;6;5;7;3;1;-;1;-;-;-;-;-;1;1;1;1;1;-;-;-;-;-;161
".....  MACHADO";-;4;7;16;28;37;87;99;148;184;239;434;545;463;587;628;546;473;418;335;239;148;128;108;56;46;39;25;21;15;10;12;7;3;6;4;5;4;6;4;4;-;-;-;6168
".....  CAMPESTRE";-;1;1;-;1;1;8;12;18;21;22;26;27;20;10;21;23;32;24;32;33;12;11;12;4;4;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;379
".....  SERRANIA";-;23;61;63;33;51;47;34;125;110;132;102;88;91;29;21;17;12;9;1;1;-;-;2;1;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1056
".....  FAMA";-;-;-;-;-;1;1;5;11;6;13;11;17;13;19;30;39;38;41;30;5;5;1;2;2;3;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;298
".....  CARVALHOPOLIS";-;-;1;-;1;1;2;2;4;3;1;9;11;8;10;7;7;5;13;10;12;11;4;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125
".....  POCO FUNDO";-;1;3;-;2;2;4;6;15;21;24;18;24;33;58;74;99;103;95;95;97;85;38;28;37;27;12;5;6;3;-;-;2;-;1;-;-;-;-;-;-;2;-;-;1020
".....  ALTEROSA";-;1;-;2;25;30;33;36;59;41;95;112;175;139;119;76;44;45;41;33;34;23;13;25;14;13;17;24;2;2;-;-;-;1;-;1;-;-;-;-;4;1;1;-;1281
".....  ALFENAS";-;32;35;56;77;118;156;263;523;592;956;1148;1551;1185;1489;1678;1294;1488;1293;1124;708;634;437;391;225;77;78;65;35;22;26;20;11;2;9;13;9;10;10;6;5;7;1;-;17859
".....  PARAGUACU";-;2;1;4;3;1;10;11;26;41;29;21;43;29;46;57;63;63;84;95;116;120;90;59;35;29;20;16;6;3;5;1;-;1;-;3;-;1;2;1;-;-;1;-;1138
".....  BOTELHOS";-;-;2;2;8;11;19;29;47;54;77;101;80;43;108;190;171;179;144;143;113;84;44;27;17;6;13;6;1;1;-;-;-;-;-;-;-;4;6;3;-;-;-;-;1733
".....  CAMPOS GERAIS";-;-;1;8;14;19;35;18;55;89;69;136;96;110;87;64;46;24;29;40;24;20;12;9;2;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1009
".....  CAMPO DO MEIO";-;-;-;1;2;2;35;9;45;113;103;238;224;86;8;12;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;882
"31002 Guaxupé";-;190;230;254;339;455;608;593;1004;1130;1504;1451;1378;999;1214;1137;785;547;376;374;351;328;214;153;42;31;38;16;12;8;6;3;5;1;5;1;5;8;3;9;4;6;1;-;15818
".....  MUZAMBINHO";-;12;18;18;17;45;32;38;75;35;57;60;43;65;65;58;65;49;59;49;68;67;27;21;10;7;11;6;3;-;2;2;3;-;1;1;-;1;-;2;-;3;-;-;1095
".....  MONTE BELO";-;75;55;62;75;95;65;19;27;26;12;16;3;4;4;3;4;3;1;2;2;3;2;3;1;1;-;4;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;571
".....  GUARANESIA";-;5;4;16;26;52;51;18;59;97;167;230;279;189;217;182;125;88;7;6;1;5;4;4;-;1;-;-;-;-;-;1;-;-;2;-;1;1;-;2;2;-;-;-;1842
".....  GUAXUPE";-;30;61;97;142;170;402;461;759;849;1132;998;908;623;764;724;451;277;236;244;204;197;143;97;7;2;2;-;-;-;-;-;-;-;-;-;1;4;1;1;1;2;-;-;9990
".....  JURUAIA";-;2;3;6;14;12;21;25;23;36;63;66;58;44;54;50;41;59;30;33;32;19;16;14;9;5;7;4;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;751
".....  SAO PEDRO DA UNIAO";-;2;2;5;1;1;-;8;8;14;26;29;37;33;61;51;39;28;18;30;23;5;7;4;3;1;4;1;2;2;1;-;-;1;-;-;-;-;1;-;1;1;-;-;450
".....  ARCEBURGO";-;61;59;32;33;48;17;15;25;36;12;13;7;7;8;11;10;6;6;1;-;5;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;419
".....  CABO VERDE";-;3;28;18;31;32;20;9;28;37;35;39;43;34;41;58;50;37;19;9;21;27;15;7;12;14;14;1;2;4;3;-;2;-;2;-;1;2;-;2;-;-;-;-;700
"31003 Itajubá";-;44;81;91;139;211;292;319;544;597;565;714;980;913;1182;1457;1228;1096;916;922;748;702;444;350;161;221;138;119;64;138;21;27;22;76;28;10;12;12;14;18;14;12;6;-;15648
".....  MARIA DA FE";-;-;2;-;1;1;6;11;8;8;11;7;13;8;28;34;25;40;31;40;34;33;24;17;6;2;8;2;1;2;2;-;-;-;-;-;-;-;-;-;1;-;-;-;406
".....  PARAISOPOLIS";-;-;-;1;3;1;7;9;18;22;27;15;11;21;27;34;42;35;26;26;28;48;27;19;11;4;-;1;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;467
".....  PEDRALVA";-;-;1;2;2;2;1;3;-;3;9;13;18;27;40;46;37;25;30;20;13;9;7;9;3;1;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;326
".....  PIRANGUINHO";-;-;-;-;8;3;1;-;7;16;12;6;11;8;5;18;14;12;9;16;11;4;6;4;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;175
".....  DELFIM MOREIRA";-;-;-;-;3;7;4;9;8;17;7;18;6;9;12;12;17;6;2;6;6;3;2;3;5;5;5;1;2;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;179
".....  MARMELOPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  CONSOLACAO";-;-;-;-;-;-;-;-;5;2;1;8;-;2;-;-;3;4;-;1;6;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
".....  BRAZOPOLIS";-;-;2;3;4;15;21;15;32;41;35;35;77;69;81;86;99;66;76;70;59;62;24;26;12;10;9;2;4;2;2;-;-;-;1;-;-;1;-;1;1;1;-;-;1044
".....  CONCEICAO DAS PEDRAS";-;-;-;-;-;-;1;1;5;1;3;2;5;8;7;1;5;7;9;9;21;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;95
".....  WENCESLAU BRAZ";-;-;-;-;-;-;-;-;-;-;2;1;5;1;-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  SAO JOSE DO ALEGRE";-;26;57;53;59;95;94;58;80;60;53;45;29;15;19;22;16;15;7;6;6;9;4;2;3;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;836
".....  GONCALVES";-;-;-;-;-;-;-;1;3;4;6;8;2;1;1;3;3;2;1;7;6;1;1;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;55
".....  PIRANGUCU";-;3;1;-;1;1;3;5;3;12;16;32;29;22;33;47;36;44;42;37;32;46;16;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;466
".....  ITAJUBA";-;15;18;32;57;86;153;206;375;399;343;488;724;676;876;1070;843;736;638;642;477;459;315;252;117;136;99;109;34;133;11;12;8;6;5;9;11;11;13;16;9;10;5;-;10634
".....  SAPUCAI-MIRIM";-;-;-;-;1;-;1;1;-;11;40;36;50;46;53;84;87;104;42;41;47;18;16;11;4;61;12;3;21;-;5;14;12;70;22;-;-;-;1;-;-;-;-;-;914
"31004 Lavras";-;40;89;95;162;302;352;356;696;800;957;1152;1264;1390;1361;1579;1620;1435;1066;1254;1096;985;581;828;580;441;412;161;123;72;17;20;19;12;12;9;17;7;8;10;8;7;5;1;21401
".....  INGAI";-;1;-;3;3;-;3;3;8;16;19;17;22;15;30;49;31;37;25;31;13;13;13;11;5;4;4;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;379
".....  PERDOES";-;4;10;7;24;43;42;52;101;130;152;156;128;139;141;151;177;118;85;127;112;79;53;38;44;23;16;6;8;4;-;5;2;1;2;6;2;1;2;-;3;-;-;-;2194
".....  CARRANCAS";-;-;-;-;2;-;2;1;13;8;14;25;24;19;14;16;12;10;8;18;14;8;6;6;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;225
".....  LAVRAS";-;35;73;74;102;194;219;182;347;400;476;601;615;679;668;680;869;760;422;573;536;513;295;561;394;325;313;117;89;56;13;12;13;5;8;3;11;6;5;8;5;6;2;-;11265
".....  ITUTINGA";-;-;-;-;-;4;8;34;66;58;83;110;131;149;84;84;38;14;14;22;15;18;4;4;1;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;944
".....  LUMINARIAS";-;-;-;-;1;-;6;5;8;16;10;17;21;21;28;44;23;21;10;14;8;21;10;15;9;1;3;3;3;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;322
".....  RIBEIRAO VERMELHO";-;-;-;1;2;3;3;-;-;1;3;3;3;4;4;1;2;4;6;11;6;11;1;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;73
".....  NEPOMUCENO";-;-;5;10;21;40;42;54;104;112;167;174;266;327;314;493;412;415;446;389;328;260;166;158;102;70;56;25;14;8;2;2;2;4;1;-;3;-;1;2;-;1;2;1;4999
".....  ITUMIRIM";-;-;1;-;4;11;21;18;40;50;28;26;34;33;59;45;40;32;24;41;42;38;20;27;10;7;7;3;-;2;-;-;1;1;-;-;-;-;-;-;-;-;1;-;666
".....  IJACI";-;-;-;-;3;7;6;7;9;9;5;23;20;4;19;16;16;24;26;28;22;24;13;8;13;8;10;6;5;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;334
"31006 Poços de Caldas";-;5;33;52;35;88;191;210;317;386;492;642;696;705;710;744;711;666;614;616;540;473;253;177;108;53;37;18;10;2;11;7;4;5;4;6;2;3;3;1;1;3;1;-;9635
".....  IBITIURA DE MINAS";-;-;-;-;-;3;2;2;4;1;17;4;3;3;4;8;9;9;5;23;5;9;3;2;1;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;120
".....  SANTA RITA DE CALDAS";-;1;-;-;-;1;6;2;2;3;9;7;10;3;5;3;13;6;8;10;12;8;5;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121
".....  ANDRADAS";-;2;25;36;14;45;90;107;167;270;370;519;561;584;537;558;495;476;439;393;362;275;150;117;55;17;15;5;1;1;-;1;1;4;1;1;-;1;-;-;1;1;-;-;6697
".....  POCOS DE CALDAS";-;2;8;15;20;35;86;95;125;88;86;95;95;101;132;131;151;119;124;144;99;125;71;35;26;27;7;9;6;1;10;5;2;1;3;3;1;2;2;-;-;1;-;-;2088
".....  CALDAS";-;-;-;1;1;4;6;2;18;20;8;15;25;12;31;42;42;56;33;45;56;54;20;21;19;7;15;3;3;-;-;-;1;-;-;1;1;-;-;-;-;1;1;-;564
".....  ALBERTINA";-;-;-;-;-;-;1;2;1;4;2;2;2;2;1;2;1;-;5;1;6;2;4;1;1;1;-;-;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;-;45
"31007 Pouso Alegre";-;75;165;189;260;480;628;742;1107;1299;1758;2286;2728;2378;2979;3498;3114;3072;2617;2575;2331;1861;1468;803;531;373;226;159;131;90;80;55;39;20;14;21;33;45;23;23;21;21;11;-;40329
".....  INCONFIDENTES";-;34;75;90;67;48;36;7;21;15;14;9;3;11;1;4;1;8;4;4;2;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;457
".....  ESTIVA";-;-;-;-;-;-;1;2;3;11;6;11;23;9;21;29;20;32;38;34;21;17;9;4;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;294
".....  BUENO BRANDAO";-;-;1;1;6;1;7;2;2;8;9;12;19;19;29;41;26;35;43;63;49;57;28;39;15;7;8;5;4;-;1;1;1;1;-;-;-;1;-;-;-;-;-;-;541
".....  OURO FINO";-;6;10;26;32;44;55;63;120;159;223;255;203;206;212;182;136;159;85;69;55;97;27;-;-;-;14;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2439
".....  SILVIANOPOLIS";-;-;-;1;2;3;1;-;7;3;3;3;9;9;27;35;43;34;27;25;15;14;16;3;7;3;2;-;6;2;-;3;-;-;-;-;-;-;-;-;-;-;-;-;303
".....  NATERCIA";-;-;-;-;-;1;2;1;3;-;-;3;13;11;25;18;23;25;18;23;25;25;14;12;5;4;1;2;-;1;-;3;-;-;-;-;-;-;-;1;-;-;-;-;259
".....  SAO JOAO DA MATA";-;-;-;-;-;-;1;2;1;2;2;-;4;8;8;9;7;11;8;29;29;15;13;4;1;3;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;160
".....  SANTA RITA DO SAPUCAI";-;-;4;5;10;24;37;48;91;110;139;175;218;184;261;548;609;670;633;692;585;336;394;228;155;87;74;56;36;28;10;16;11;6;1;9;7;16;2;9;8;12;-;-;6544
".....  TOLEDO";-;1;-;-;-;-;1;4;3;-;6;5;16;9;12;30;7;6;-;3;2;5;4;8;1;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;126
".....  JACUTINGA";-;2;2;-;3;6;11;6;25;28;35;45;87;86;117;123;92;73;85;55;75;159;97;41;27;16;2;6;2;-;7;4;3;3;2;-;-;1;1;-;1;-;-;-;1328
".....  CACHOEIRA DE MINAS";-;-;-;-;1;4;8;18;26;35;78;106;293;262;268;283;253;218;202;177;161;152;57;40;30;16;13;6;4;6;2;5;4;2;-;-;-;-;2;2;-;-;-;-;2734
".....  CAMANDUCAIA";-;1;-;-;1;-;3;6;7;2;3;12;4;6;6;4;4;15;5;22;6;14;3;2;4;2;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;136
".....  IPUIUNA";-;-;-;-;-;-;2;2;6;1;6;10;3;15;12;3;8;2;2;2;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;79
".....  SAO SEBASTIAO DA BELA VISTA";-;-;-;-;-;4;2;3;8;5;4;14;7;6;21;22;37;40;50;71;45;47;73;28;11;7;4;-;8;1;-;1;-;-;-;-;-;-;3;-;-;-;-;-;522
".....  ESPIRITO SANTO DO DOURADO";-;-;-;-;-;-;3;2;2;1;2;3;3;1;2;5;3;10;2;8;7;15;13;5;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;91
".....  CAREACU";-;1;-;-;3;2;4;16;16;22;46;78;90;86;141;74;52;30;2;3;9;17;10;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;708
".....  CORREGO DO BOM JESUS";-;-;-;-;-;-;1;-;-;3;2;3;-;1;-;2;1;2;3;3;2;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
".....  CONGONHAL";-;1;3;3;4;1;6;7;6;8;7;10;12;14;18;27;21;42;27;14;43;20;22;21;6;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;349
".....  EXTREMA";-;5;6;12;16;41;62;68;144;106;130;230;124;78;103;169;121;198;117;76;105;6;191;56;72;78;1;13;8;-;23;-;2;-;-;-;2;1;-;1;-;-;-;-;2365
".....  CONCEICAO DOS OUROS";-;-;5;3;2;10;25;30;69;103;162;251;276;214;176;175;97;57;32;38;9;1;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1740
".....  POUSO ALEGRE";-;16;48;33;84;232;276;385;422;518;661;750;945;802;1083;1215;1095;968;867;789;695;574;326;185;112;81;69;51;55;46;31;20;14;6;5;10;13;15;9;6;9;7;2;-;13530
".....  BOM REPOUSO";-;-;4;-;-;-;-;-;2;1;1;4;1;1;4;2;4;5;5;9;10;3;2;1;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63
".....  BORDA DA MATA";-;3;1;7;14;33;40;19;25;34;33;48;60;60;62;67;86;83;63;66;83;35;29;13;6;5;4;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;983
".....  CAMBUI";-;1;1;2;1;6;9;6;31;30;23;27;24;13;39;51;42;54;66;78;73;54;42;20;16;18;9;7;2;2;2;1;-;1;4;1;7;2;3;-;2;-;2;-;772
".....  MONTE SIAO";-;2;2;3;10;14;20;21;34;65;113;146;215;186;221;246;162;153;98;102;102;79;41;34;13;12;8;2;3;-;1;-;-;-;-;1;-;-;1;1;-;-;-;-;2111
".....  MUNHOZ";-;-;-;-;1;-;-;1;4;7;3;3;1;3;4;5;2;5;1;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;43
".....  TURVOLANDIA";-;-;-;-;-;-;-;1;2;-;7;10;15;4;19;19;25;17;23;19;29;23;5;6;9;8;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;242
".....  SENADOR JOSE BENTO";-;-;1;1;-;1;-;-;-;1;3;1;2;1;1;-;-;2;-;3;4;-;-;-;7;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31
".....  TOCOS DO MOJI";-;-;-;-;-;1;-;1;1;5;2;1;-;1;4;3;4;7;5;2;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
".....  ITAPEVA";-;2;2;2;2;4;15;17;22;15;28;41;40;43;71;87;101;88;87;73;66;74;40;40;30;19;5;5;1;1;3;-;1;1;-;-;3;8;2;2;1;2;6;-;1050
".....  SENADOR AMARAL";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
".....  HELIODORA";-;-;-;-;1;-;-;4;4;-;6;20;18;29;11;20;30;22;19;23;20;18;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;256
"31008 São Lourenço";-;32;51;54;121;275;414;524;872;1045;1191;1303;2167;2185;3189;2905;3484;3062;2593;2513;1895;1586;904;524;356;336;285;137;85;43;22;16;19;8;5;7;12;5;12;13;31;15;5;-;34301
".....  SERRANOS";-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;3;3;3;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
".....  VIRGINIA";-;-;-;-;1;4;10;4;6;5;4;4;46;33;27;30;24;31;22;21;24;23;21;5;6;12;14;5;-;-;-;-;-;-;-;-;-;-;-;-;1;7;-;-;390
".....  CARVALHOS";-;-;-;1;5;29;23;44;53;26;57;34;63;35;38;30;20;5;11;4;5;3;3;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;493
".....  AIURUOCA";-;-;-;-;2;1;3;10;3;5;11;6;12;11;10;9;11;5;6;10;7;6;7;2;4;2;-;1;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;148
".....  CRISTINA";-;-;-;2;2;4;5;17;30;36;28;20;37;27;39;20;31;22;20;19;14;32;17;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;429
".....  CARMO DE MINAS";-;-;-;1;3;4;8;7;19;26;42;42;128;202;283;184;147;178;209;180;115;115;81;35;18;7;11;6;7;3;1;3;1;1;-;2;1;1;1;3;1;-;-;-;2076
".....  LAMBARI";-;14;36;16;10;25;50;33;88;90;77;94;150;108;132;97;143;94;75;64;35;30;4;3;2;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1474
".....  JESUANIA";-;-;1;1;2;8;3;7;27;11;30;19;19;19;24;15;34;31;13;3;12;10;2;1;2;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;299
".....  SOLEDADE DE MINAS";-;-;-;-;1;2;-;-;-;8;3;9;26;8;26;33;63;39;18;33;26;20;13;8;8;3;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;353
".....  CAXAMBU";-;8;3;6;13;31;68;90;129;164;195;262;405;345;420;441;396;309;235;203;153;131;40;46;15;26;17;16;12;6;2;2;4;-;1;-;5;-;2;2;5;2;1;-;4211
".....  ITAMONTE";-;-;1;1;4;18;19;37;42;41;54;70;130;153;285;281;230;283;192;201;116;113;61;36;21;22;14;16;3;2;1;-;1;-;-;-;3;-;-;-;2;-;-;-;2453
".....  DOM VICOSO";-;-;-;-;-;1;2;-;5;4;-;2;6;4;3;4;9;17;15;11;14;2;8;-;-;1;-;-;3;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;115
".....  CONCEICAO DO RIO VERDE";-;1;-;-;1;1;-;2;21;24;47;88;173;164;255;195;442;329;314;312;191;117;90;31;7;15;16;3;-;4;2;2;-;1;1;-;-;-;1;-;1;-;-;-;2851
".....  POUSO ALTO";-;-;-;3;9;5;9;21;25;26;36;41;83;77;79;120;104;85;60;68;54;60;38;28;70;63;45;14;8;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1234
".....  ALAGOA";-;-;-;-;-;1;-;1;1;-;-;1;2;1;-;-;-;2;1;1;5;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
".....  PASSA QUATRO";-;-;1;2;5;8;16;5;15;25;19;21;22;35;22;39;45;38;39;46;55;32;22;21;25;18;13;9;10;-;3;3;2;1;1;-;2;1;1;-;1;-;2;-;625
".....  OLIMPIO NORONHA";-;-;-;-;-;2;-;1;3;4;3;5;9;23;23;35;36;25;15;22;14;10;5;8;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;246
".....  BAEPENDI";-;4;1;4;4;2;3;17;34;42;43;41;67;61;97;105;82;123;67;109;97;102;58;-;4;3;1;-;-;1;2;1;1;1;-;-;-;-;-;-;-;-;-;-;1177
".....  MINDURI";-;-;1;3;7;3;32;22;30;72;67;54;129;89;79;99;98;79;77;68;67;38;25;9;6;8;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1164
".....  SAO SEBASTIAO DO RIO VERDE";-;1;-;-;-;-;-;3;2;-;-;2;4;9;14;10;3;8;7;6;6;6;11;5;6;9;7;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;124
".....  ITANHANDU";-;-;-;1;9;18;17;28;64;61;60;73;122;119;162;172;226;194;216;215;154;168;110;86;44;67;43;32;17;8;5;2;1;1;-;2;-;1;5;7;16;1;2;-;2529
".....  SERITINGA";-;-;-;-;-;1;-;-;1;-;1;5;9;11;21;8;13;9;7;4;1;1;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97
".....  SAO LOURENCO";-;1;2;7;32;95;126;146;207;266;285;265;315;395;833;607;889;756;652;568;457;378;187;106;60;44;75;27;15;3;1;-;4;2;1;1;-;1;-;1;1;1;-;-;7812
".....  CRUZILIA";-;3;5;6;11;12;20;29;67;109;129;144;207;255;317;368;435;397;321;343;272;189;96;87;54;26;22;3;5;10;3;2;3;1;1;2;-;-;1;-;3;4;-;-;3962
"31009 São Sebastião do Paraíso";-;22;21;57;56;143;200;235;412;443;415;557;705;622;769;1082;1036;1059;1088;1272;1104;1037;639;450;350;335;232;116;95;69;93;28;41;14;14;9;26;19;12;14;17;10;6;3;14927
".....  SAO TOMAS DE AQUINO";-;3;3;7;4;10;6;15;30;49;40;81;87;76;125;190;166;178;167;181;152;86;52;39;18;19;17;10;6;3;4;-;6;-;-;-;2;-;3;1;-;-;3;2;1841
".....  ITAMOGI";-;-;-;7;4;16;16;12;42;63;47;62;70;20;58;79;108;49;127;157;73;122;77;57;68;42;14;2;5;4;34;-;-;-;-;-;-;-;-;-;-;4;2;1;1442
".....  JACUI";-;3;-;4;5;2;9;14;8;9;4;13;16;9;16;24;20;14;20;5;2;12;4;6;2;-;-;2;1;1;-;2;2;-;1;-;-;2;-;1;-;-;-;-;233
".....  PRATAPOLIS";-;-;1;-;1;-;-;2;4;8;6;9;14;22;41;69;56;66;39;51;48;31;21;14;13;14;5;4;1;2;4;5;-;-;-;1;-;1;1;2;-;-;-;-;556
".....  MONTE SANTO DE MINAS";-;4;14;20;23;39;77;86;198;176;177;222;257;282;286;319;265;249;219;231;269;196;127;55;42;30;23;10;8;1;7;2;7;1;1;2;-;3;-;-;-;1;1;-;3930
".....  SAO SEBASTIAO DO PARAISO";-;12;3;19;19;76;92;106;130;138;141;170;261;213;243;401;421;503;516;647;560;590;358;279;207;230;173;88;74;58;44;19;26;13;12;6;24;13;8;10;17;5;-;-;6925
"31010 Três Corações";-;6;7;10;35;63;121;131;238;305;510;717;944;1072;1080;1478;1099;1011;848;778;546;451;255;199;88;93;65;30;23;12;4;3;2;1;7;3;1;-;6;5;-;-;1;-;12248
".....  SAO THOME DAS LETRAS";-;-;-;-;5;9;14;21;15;16;29;29;21;18;34;18;30;30;15;9;17;6;10;6;5;12;3;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;376
".....  SAO BENTO ABADE";-;-;-;-;-;-;-;1;7;2;9;22;31;17;17;39;21;53;44;35;52;39;16;19;4;11;19;2;2;1;-;-;-;-;5;-;-;-;-;-;-;-;-;-;468
".....  CARMO DA CACHOEIRA";-;-;1;3;5;6;22;26;32;50;79;73;50;22;64;43;53;40;33;34;20;3;2;13;9;14;8;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;710
".....  TRES CORACOES";-;6;5;6;25;38;57;68;163;216;360;542;786;972;938;1309;907;839;717;658;419;349;192;147;56;43;34;24;21;9;2;3;2;1;2;3;1;-;3;3;-;-;1;-;9927
".....  CAMBUQUIRA";-;-;1;1;-;10;28;15;21;21;33;51;56;43;27;69;88;49;39;42;38;54;35;14;14;13;1;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;767
