Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
Bocaiúva,7,3,7,5,5,2,3,3,6,10,2,4,4,2,1,0,2,3,0,1,0,1,2,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4,2,3,0,0,1,3,1,7,9,1,112,31083
Montes Claros,7,11,18,12,15,12,16,26,48,55,63,53,39,23,25,19,17,17,12,15,6,14,11,6,6,8,5,6,7,6,4,19,14,9,6,5,10,8,5,5,5,4,6,6,3,5,16,14,30,16,17,26,0,811,31084
Taiobeiras,0,0,0,1,2,0,0,2,2,1,4,1,1,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,2,1,5,0,34,31085
Divinópolis,12,16,12,13,10,13,10,9,15,22,15,25,6,14,27,19,15,9,9,9,4,10,8,2,6,5,3,2,1,4,1,1,4,3,4,5,12,7,5,8,8,2,7,5,5,9,4,5,5,8,4,8,0,445,31086
"Lagoa da Prata,Santo Antônio do Monte",6,16,13,29,40,46,46,47,64,103,70,63,33,38,17,16,36,17,19,17,20,12,19,18,10,6,4,4,1,3,3,2,0,4,2,2,6,0,0,1,0,2,2,1,5,1,0,2,6,1,7,1,0,881,31087
"Oliveira,Santo Antônio do Amparo",0,2,7,10,3,3,6,2,2,2,3,1,1,3,2,3,1,3,1,1,2,3,0,3,0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,4,2,4,0,4,2,4,4,2,1,1,2,0,101,31088
Campo Belo,2,5,7,0,5,2,7,4,8,4,2,3,7,8,1,5,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,3,3,1,0,0,2,1,4,2,1,1,0,98,31089
Lima Duarte,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,31090
Cássia,1,1,1,3,0,4,1,1,0,0,3,2,0,0,4,0,1,3,1,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,0,39,31091
Passos,4,15,10,5,6,1,7,3,3,3,6,10,5,5,3,4,0,0,1,2,6,0,1,0,0,0,1,0,0,2,1,1,3,2,2,2,10,5,3,1,4,7,5,3,7,5,7,5,10,3,5,6,0,200,31092
Piumhi,3,15,15,11,8,17,9,7,12,12,8,11,15,11,14,12,13,6,7,4,7,8,8,8,5,8,2,4,3,6,2,1,3,8,3,1,5,4,4,3,0,0,2,4,3,0,3,3,5,6,7,6,0,342,31093
"Almenara,Jacinto",0,3,3,3,1,1,0,1,0,1,0,2,3,0,2,1,2,1,1,1,5,2,2,1,0,0,3,0,2,1,0,0,4,0,0,0,0,1,2,0,1,1,0,0,2,1,2,1,2,5,2,5,0,71,31094
Serro,4,1,1,4,1,1,1,5,7,8,11,1,7,6,5,1,1,1,2,0,1,1,1,0,1,3,2,2,1,1,0,0,0,0,0,0,1,0,2,2,0,1,2,6,2,2,3,1,0,2,1,2,0,108,31095
Itambacuri,1,5,1,0,0,1,1,0,1,0,1,1,1,2,1,4,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,32,31096
Juiz de Fora,11,4,7,8,4,7,8,11,6,12,8,10,7,4,5,6,13,11,12,7,6,10,14,12,10,12,4,5,3,2,3,4,4,7,3,1,7,0,2,2,1,1,3,1,2,2,5,8,6,9,4,4,1,319,31097
Salinas,2,0,2,1,0,2,1,1,1,0,2,8,1,7,0,0,7,0,1,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2,0,1,1,0,0,50,31098
"Teófilo Otoni,Malacacheta",3,8,1,4,6,4,4,2,9,4,4,4,9,5,8,2,11,3,6,3,3,5,4,2,3,0,3,3,0,1,2,2,4,3,0,1,1,0,0,1,0,2,2,1,2,1,4,4,0,3,1,0,0,158,31099
São Francisco,0,0,0,0,0,2,0,0,1,4,1,0,3,5,0,1,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,31100
Brasília de Minas,3,0,1,1,2,1,2,1,1,1,3,3,1,3,1,3,1,0,0,1,0,0,0,1,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,3,2,3,5,0,57,31101
"Peçanha,São João Evangelista,Santa Maria do Suaçuí",8,13,13,13,5,2,0,3,5,4,3,2,2,5,10,12,9,13,9,12,12,2,10,7,7,4,5,4,0,4,1,0,0,1,2,0,0,0,0,1,1,0,0,1,7,9,21,13,33,38,32,0,0,358,31102
